date,municipality,mining_active,pm25,pm10,no2,so2,aqi,aqi_category,wind_speed_kmh,wind_direction,temperature_c,humidity_pct
2023-01-30,Carrascal,True,64.0,155.8,36.0,46.9,155,Unhealthy,14.6,ENE,27.3,78.9
2023-01-31,Carrascal,True,52.8,80.4,52.1,22.3,144,Unhealthy for Sensitive Groups,6.0,ENE,28.7,74.8
2023-02-01,Carrascal,True,60.0,147.2,46.8,49.3,152,Unhealthy,12.6,NNE,31.5,92.8
2023-02-02,Carrascal,True,70.8,99.5,40.0,28.6,158,Unhealthy,6.1,ENE,30.2,89.6
2023-02-03,Carrascal,True,59.9,149.1,88.7,32.9,152,Unhealthy,11.6,NNE,29.4,82.7
2023-02-04,Carrascal,True,97.5,72.0,34.3,24.1,172,Unhealthy,10.0,ENE,30.3,93.4
2023-02-05,Carrascal,True,56.4,90.5,63.2,21.0,151,Unhealthy,12.0,ENE,30.4,76.4
2023-02-06,Carrascal,True,90.8,150.3,85.9,44.6,169,Unhealthy,11.2,NNE,28.0,82.2
2023-02-07,Carrascal,True,68.0,114.4,65.5,59.8,157,Unhealthy,7.1,NE,32.0,83.0
2023-02-08,Carrascal,True,74.8,185.8,64.7,37.9,160,Unhealthy,9.4,NE,26.2,92.5
2023-02-09,Carrascal,True,98.9,150.8,72.3,73.2,173,Unhealthy,14.5,NE,32.3,74.7
2023-02-10,Carrascal,True,91.8,102.5,56.3,48.0,169,Unhealthy,10.7,NNE,27.3,78.9
2023-02-11,Carrascal,True,76.1,85.3,64.2,37.9,161,Unhealthy,9.2,ENE,30.4,70.0
2023-02-12,Carrascal,True,81.4,73.3,54.2,18.6,164,Unhealthy,8.1,NNE,32.2,89.5
2023-02-13,Carrascal,True,52.4,98.5,42.5,63.7,143,Unhealthy for Sensitive Groups,13.8,ENE,25.4,85.7
2023-02-14,Carrascal,True,110.6,165.7,41.9,58.6,179,Unhealthy,12.7,NE,32.4,90.6
2023-02-15,Carrascal,True,75.9,94.1,62.5,27.7,161,Unhealthy,12.1,ENE,32.2,70.7
2023-02-16,Carrascal,True,65.6,135.1,34.1,45.6,155,Unhealthy,7.0,NNE,31.5,80.8
2023-02-17,Carrascal,True,85.7,149.7,45.9,35.7,166,Unhealthy,12.3,ENE,31.4,83.6
2023-02-18,Carrascal,True,71.3,92.7,65.7,36.8,158,Unhealthy,6.6,NE,32.1,85.0
2023-02-19,Carrascal,True,61.9,102.2,83.5,59.7,153,Unhealthy,12.4,NE,29.9,89.6
2023-02-20,Carrascal,True,132.8,147.5,99.8,65.6,191,Unhealthy,10.4,NE,28.2,86.8
2023-02-21,Carrascal,True,94.4,94.6,100.9,31.2,171,Unhealthy,9.4,NE,24.7,94.9
2023-02-22,Carrascal,True,110.9,97.7,45.7,34.6,179,Unhealthy,14.8,ENE,27.3,68.4
2023-02-23,Carrascal,True,46.7,112.9,75.8,53.4,128,Unhealthy for Sensitive Groups,6.8,NE,31.8,66.0
2023-02-24,Carrascal,True,80.4,166.8,64.1,34.5,163,Unhealthy,5.6,NE,29.0,89.7
2023-02-25,Carrascal,True,66.7,115.7,41.0,32.8,156,Unhealthy,8.2,NE,28.9,94.4
2023-02-26,Carrascal,True,86.1,97.0,70.7,56.6,166,Unhealthy,13.5,NNE,25.5,85.5
2023-02-27,Carrascal,True,94.6,86.4,45.9,63.2,171,Unhealthy,14.4,NE,30.1,90.7
2023-02-28,Carrascal,True,74.3,144.1,65.0,43.4,160,Unhealthy,5.9,NE,31.2,93.6
2023-03-01,Carrascal,True,77.5,82.3,68.2,33.3,162,Unhealthy,12.2,ENE,32.7,74.7
2023-03-02,Carrascal,True,118.6,101.4,74.7,40.0,183,Unhealthy,10.9,ENE,26.6,67.5
2023-03-03,Carrascal,True,49.8,152.6,86.5,60.9,136,Unhealthy for Sensitive Groups,11.3,NNE,32.5,80.4
2023-03-04,Carrascal,True,41.4,125.4,41.6,30.8,115,Unhealthy for Sensitive Groups,10.2,ENE,24.4,85.6
2023-03-05,Carrascal,True,85.2,120.0,38.8,20.8,166,Unhealthy,14.0,ENE,30.6,72.2
2023-03-06,Carrascal,True,51.9,98.3,39.0,59.7,141,Unhealthy for Sensitive Groups,7.5,ENE,25.7,81.7
2023-03-07,Carrascal,True,123.0,85.7,62.8,28.6,186,Unhealthy,13.5,ENE,31.1,70.3
2023-03-08,Carrascal,True,113.6,109.7,85.7,49.8,181,Unhealthy,14.6,ENE,26.6,84.1
2023-03-09,Carrascal,True,114.0,145.0,56.5,72.1,181,Unhealthy,14.9,NNE,27.9,84.5
2023-03-10,Carrascal,True,90.0,111.0,71.3,57.6,168,Unhealthy,7.9,ENE,28.4,74.5
2023-03-11,Carrascal,True,59.6,99.1,37.3,36.4,152,Unhealthy,11.3,ENE,30.7,85.2
2023-03-12,Carrascal,True,49.5,97.8,38.4,45.8,135,Unhealthy for Sensitive Groups,8.1,NNE,31.5,73.1
2023-03-13,Carrascal,True,113.2,157.9,77.2,49.0,180,Unhealthy,5.8,NE,24.9,75.0
2023-03-14,Carrascal,True,73.9,127.4,42.2,50.5,160,Unhealthy,7.2,NNE,27.6,69.8
2023-03-15,Carrascal,True,100.6,181.5,52.6,72.7,174,Unhealthy,6.0,ENE,25.9,89.1
2023-03-16,Carrascal,True,96.6,100.0,86.8,50.0,172,Unhealthy,9.9,ENE,27.0,83.0
2023-03-17,Carrascal,True,50.0,88.8,82.6,59.8,137,Unhealthy for Sensitive Groups,5.7,ENE,29.6,72.5
2023-03-18,Carrascal,True,78.6,132.6,47.2,47.8,162,Unhealthy,9.3,ENE,25.2,87.8
2023-03-19,Carrascal,True,110.4,112.2,74.5,33.4,179,Unhealthy,14.4,NE,25.1,93.7
2023-03-20,Carrascal,True,79.9,166.8,80.0,45.7,163,Unhealthy,9.9,NE,29.9,93.5
2023-03-21,Carrascal,True,85.7,110.7,47.9,48.3,166,Unhealthy,14.4,NE,29.0,85.8
2023-03-22,Carrascal,True,82.8,194.0,34.6,72.7,164,Unhealthy,10.5,NE,31.2,76.1
2023-03-23,Carrascal,True,94.1,150.2,38.6,53.5,170,Unhealthy,10.6,NE,25.5,68.5
2023-03-24,Carrascal,True,116.7,189.3,64.4,32.1,182,Unhealthy,14.7,NE,26.9,70.2
2023-03-25,Carrascal,True,60.1,123.2,45.2,18.6,152,Unhealthy,10.3,NE,31.3,82.1
2023-03-26,Carrascal,True,95.8,128.1,42.9,41.2,171,Unhealthy,5.8,ENE,24.4,82.7
2023-03-27,Carrascal,True,51.8,170.4,47.0,40.4,141,Unhealthy for Sensitive Groups,7.6,ENE,27.1,83.8
2023-03-28,Carrascal,True,63.7,169.5,45.6,66.5,154,Unhealthy,7.4,NE,30.0,90.7
2023-03-29,Carrascal,True,59.5,143.3,63.0,40.1,152,Unhealthy,7.1,ENE,24.4,86.2
2023-03-30,Carrascal,True,82.0,117.9,48.9,53.7,164,Unhealthy,11.4,NNE,28.5,68.4
2023-03-31,Carrascal,True,58.0,145.4,78.0,35.7,151,Unhealthy,12.8,NE,31.3,93.7
2023-04-01,Carrascal,True,50.6,126.9,71.1,28.6,138,Unhealthy for Sensitive Groups,4.9,E,31.2,71.3
2023-04-02,Carrascal,True,39.4,128.5,36.0,26.3,110,Unhealthy for Sensitive Groups,9.0,ESE,26.8,88.4
2023-04-03,Carrascal,True,75.7,155.9,32.9,57.9,161,Unhealthy,7.8,ESE,28.6,72.2
2023-04-04,Carrascal,True,111.5,143.6,74.0,36.8,180,Unhealthy,7.8,SE,27.2,88.2
2023-04-05,Carrascal,True,107.0,182.9,48.5,51.4,177,Unhealthy,8.8,SE,30.0,73.6
2023-04-06,Carrascal,True,91.5,118.1,30.5,41.0,169,Unhealthy,9.9,SE,26.3,71.9
2023-04-07,Carrascal,True,101.3,95.9,54.6,25.2,174,Unhealthy,4.6,SE,30.7,74.9
2023-04-08,Carrascal,True,86.7,85.3,45.0,27.6,166,Unhealthy,5.3,ESE,24.3,85.2
2023-04-09,Carrascal,True,91.1,117.7,53.6,39.9,169,Unhealthy,8.4,SE,24.4,84.2
2023-04-10,Carrascal,True,89.6,97.1,56.7,68.9,168,Unhealthy,4.9,SE,29.9,66.8
2023-04-11,Carrascal,True,96.8,148.1,33.7,57.7,172,Unhealthy,4.4,E,32.4,94.1
2023-04-12,Carrascal,True,83.8,67.2,40.9,40.3,165,Unhealthy,7.3,E,27.9,66.2
2023-04-13,Carrascal,True,112.6,87.7,73.3,27.3,180,Unhealthy,8.6,SE,31.9,74.6
2023-04-14,Carrascal,True,74.2,99.0,55.0,44.0,160,Unhealthy,8.6,SE,31.0,89.8
2023-04-15,Carrascal,True,73.0,126.6,37.4,32.5,159,Unhealthy,3.2,E,26.9,78.3
2023-04-16,Carrascal,True,78.0,58.0,57.9,28.0,162,Unhealthy,5.7,SE,29.4,75.5
2023-04-17,Carrascal,True,79.1,147.6,72.1,40.0,162,Unhealthy,3.5,E,27.1,83.9
2023-04-18,Carrascal,True,102.6,79.5,48.6,24.0,175,Unhealthy,3.2,ESE,28.3,67.5
2023-04-19,Carrascal,True,90.3,169.0,38.7,27.2,168,Unhealthy,8.2,SE,28.9,91.0
2023-04-20,Carrascal,True,110.6,78.3,43.2,30.4,179,Unhealthy,6.7,SE,31.0,77.1
2023-04-21,Carrascal,True,113.2,112.3,74.3,47.3,180,Unhealthy,5.7,ESE,29.1,86.6
2023-04-22,Carrascal,True,42.6,108.2,33.4,55.4,118,Unhealthy for Sensitive Groups,9.5,E,26.3,92.8
2023-04-23,Carrascal,True,71.7,106.0,32.6,58.6,159,Unhealthy,8.6,E,25.7,66.7
2023-04-24,Carrascal,True,94.0,164.7,46.5,51.2,170,Unhealthy,3.3,SE,32.6,74.8
2023-04-25,Carrascal,True,107.0,127.9,37.5,28.5,177,Unhealthy,4.9,SE,26.9,70.2
2023-04-26,Carrascal,True,88.4,90.1,31.5,34.9,167,Unhealthy,9.8,SE,29.1,67.9
2023-04-27,Carrascal,True,60.5,155.2,72.5,37.7,153,Unhealthy,3.8,E,26.9,94.2
2023-04-28,Carrascal,True,50.9,188.2,88.5,34.9,139,Unhealthy for Sensitive Groups,8.6,SE,26.0,94.3
2023-04-29,Carrascal,True,82.1,138.5,51.1,25.7,164,Unhealthy,8.3,E,27.9,65.7
2023-04-30,Carrascal,True,39.3,117.6,27.0,34.6,110,Unhealthy for Sensitive Groups,9.9,ESE,26.5,85.5
2023-05-01,Carrascal,True,53.0,96.9,58.2,33.2,144,Unhealthy for Sensitive Groups,8.8,ESE,31.7,90.7
2023-05-02,Carrascal,True,84.2,148.3,60.9,39.1,165,Unhealthy,5.1,ESE,24.8,78.1
2023-05-03,Carrascal,True,64.4,82.8,62.9,40.6,155,Unhealthy,8.5,E,32.9,66.9
2023-05-04,Carrascal,True,75.4,102.8,55.8,41.9,161,Unhealthy,9.0,ESE,28.8,65.2
2023-05-05,Carrascal,True,94.6,111.3,47.7,23.3,171,Unhealthy,3.9,SE,24.5,83.4
2023-05-06,Carrascal,True,49.9,52.5,36.6,15.6,136,Unhealthy for Sensitive Groups,9.5,ESE,31.7,74.6
2023-05-07,Carrascal,True,55.2,82.3,37.4,28.8,150,Unhealthy for Sensitive Groups,5.2,ESE,25.5,88.6
2023-05-08,Carrascal,True,44.1,127.7,24.3,37.0,122,Unhealthy for Sensitive Groups,8.4,ESE,27.3,92.7
2023-05-09,Carrascal,True,52.9,61.8,24.6,45.6,144,Unhealthy for Sensitive Groups,7.0,ESE,31.5,71.5
2023-05-10,Carrascal,True,64.8,69.2,62.7,26.6,155,Unhealthy,7.0,ESE,25.8,82.3
2023-05-11,Carrascal,True,44.8,82.9,37.5,40.1,123,Unhealthy for Sensitive Groups,9.8,ESE,27.5,78.2
2023-05-12,Carrascal,True,80.5,88.7,49.3,33.5,163,Unhealthy,3.0,SE,27.7,81.2
2023-05-13,Carrascal,True,67.2,95.5,37.5,34.9,156,Unhealthy,3.5,ESE,30.0,85.8
2023-05-14,Carrascal,True,43.0,103.3,26.3,15.2,119,Unhealthy for Sensitive Groups,4.9,SE,27.1,66.8
2023-05-15,Carrascal,True,62.2,101.2,43.6,31.7,154,Unhealthy,3.9,ESE,27.4,82.1
2023-05-16,Carrascal,True,42.3,94.7,63.2,54.1,117,Unhealthy for Sensitive Groups,8.7,ESE,30.1,72.6
2023-05-17,Carrascal,True,44.8,75.3,39.6,27.0,124,Unhealthy for Sensitive Groups,3.7,SE,30.5,85.9
2023-05-18,Carrascal,True,69.6,79.2,33.1,21.0,157,Unhealthy,7.9,E,28.6,65.8
2023-05-19,Carrascal,True,59.5,145.6,77.3,45.5,152,Unhealthy,9.9,ESE,24.4,94.0
2023-05-20,Carrascal,True,28.7,92.8,19.3,15.9,86,Moderate,9.7,ESE,28.1,69.0
2023-05-21,Carrascal,True,45.3,68.7,25.4,23.5,125,Unhealthy for Sensitive Groups,4.5,E,26.2,81.6
2023-05-22,Carrascal,True,87.3,131.8,31.2,42.6,167,Unhealthy,4.7,E,28.5,84.4
2023-05-23,Carrascal,True,57.2,72.6,37.5,30.3,151,Unhealthy,7.4,ESE,29.5,93.8
2023-05-24,Carrascal,True,55.7,141.8,52.0,31.5,150,Unhealthy,4.2,ESE,28.7,82.9
2023-05-25,Carrascal,True,36.4,79.1,55.7,24.6,102,Unhealthy for Sensitive Groups,6.5,SE,28.6,74.8
2023-05-26,Carrascal,True,45.2,94.3,32.6,32.7,124,Unhealthy for Sensitive Groups,6.4,E,30.0,65.1
2023-05-27,Carrascal,True,57.6,85.9,50.9,40.2,151,Unhealthy,4.8,E,25.1,80.9
2023-05-28,Carrascal,True,33.2,73.7,49.3,29.3,95,Moderate,5.6,ESE,31.2,94.8
2023-05-29,Carrascal,True,86.2,104.8,26.6,45.4,166,Unhealthy,7.7,E,29.3,69.4
2023-05-30,Carrascal,True,68.4,61.2,46.5,39.8,157,Unhealthy,3.4,E,24.6,67.5
2023-05-31,Carrascal,True,93.2,104.3,65.2,47.5,170,Unhealthy,7.2,ESE,24.4,76.8
2023-06-01,Carrascal,True,49.7,140.8,31.6,51.5,136,Unhealthy for Sensitive Groups,9.3,WSW,25.4,91.3
2023-06-02,Carrascal,True,62.3,82.4,29.9,38.4,154,Unhealthy,13.5,SW,30.7,82.6
2023-06-03,Carrascal,True,78.5,93.9,41.8,16.9,162,Unhealthy,18.8,SW,30.3,66.5
2023-06-04,Carrascal,True,59.6,80.2,27.9,36.0,152,Unhealthy,14.5,SW,26.3,81.1
2023-06-05,Carrascal,True,89.3,145.8,80.9,28.9,168,Unhealthy,19.5,SW,24.1,69.5
2023-06-06,Carrascal,True,75.7,91.7,43.9,37.7,161,Unhealthy,18.8,WSW,26.7,71.4
2023-06-07,Carrascal,True,65.5,120.6,59.1,28.0,155,Unhealthy,8.6,SW,25.7,74.6
2023-06-08,Carrascal,True,33.3,115.2,42.0,39.5,95,Moderate,19.3,SW,28.2,80.2
2023-06-09,Carrascal,True,61.8,53.8,42.7,28.1,153,Unhealthy,11.3,SSW,28.8,83.1
2023-06-10,Carrascal,True,74.0,87.6,24.6,36.6,160,Unhealthy,15.8,SW,30.9,81.9
2023-06-11,Carrascal,True,44.9,99.2,34.3,29.4,124,Unhealthy for Sensitive Groups,16.6,SSW,27.4,75.0
2023-06-12,Carrascal,True,56.2,66.6,66.7,17.3,150,Unhealthy,17.1,SW,26.0,68.7
2023-06-13,Carrascal,True,72.5,119.2,32.4,16.9,159,Unhealthy,9.6,SSW,27.6,72.7
2023-06-14,Carrascal,True,36.2,102.3,45.8,26.1,102,Unhealthy for Sensitive Groups,9.6,WSW,25.5,65.5
2023-06-15,Carrascal,True,69.7,60.9,33.7,19.5,158,Unhealthy,8.3,SW,29.1,70.0
2023-06-16,Carrascal,True,96.8,109.1,48.5,36.1,172,Unhealthy,14.6,SSW,30.6,66.5
2023-06-17,Carrascal,True,47.3,67.9,35.3,25.3,130,Unhealthy for Sensitive Groups,13.7,SW,30.9,70.8
2023-06-18,Carrascal,True,70.9,60.6,21.7,32.8,158,Unhealthy,8.5,SSW,31.9,84.7
2023-06-19,Carrascal,True,48.0,78.0,35.3,26.0,132,Unhealthy for Sensitive Groups,18.3,SSW,32.1,70.5
2023-06-20,Carrascal,True,71.8,81.8,63.5,42.2,159,Unhealthy,16.0,SW,28.2,73.8
2023-06-21,Carrascal,True,87.3,85.4,35.1,45.0,167,Unhealthy,8.2,SW,27.8,69.0
2023-06-22,Carrascal,True,75.5,104.0,63.6,25.2,161,Unhealthy,17.9,SSW,24.4,75.6
2023-06-23,Carrascal,True,79.0,70.0,55.8,41.0,162,Unhealthy,12.8,SSW,28.4,94.5
2023-06-24,Carrascal,True,55.1,66.4,43.7,23.2,149,Unhealthy for Sensitive Groups,10.1,SW,30.9,88.3
2023-06-25,Carrascal,True,43.2,101.0,39.1,17.3,119,Unhealthy for Sensitive Groups,13.2,WSW,26.7,81.3
2023-06-26,Carrascal,True,40.9,71.8,49.3,32.9,114,Unhealthy for Sensitive Groups,8.3,SW,30.6,66.0
2023-06-27,Carrascal,True,57.2,77.3,32.9,22.1,151,Unhealthy,17.5,WSW,29.4,86.6
2023-06-28,Carrascal,True,57.7,101.7,29.9,35.0,151,Unhealthy,16.3,WSW,30.9,76.4
2023-06-29,Carrascal,True,82.5,105.9,70.5,23.8,164,Unhealthy,17.8,SSW,26.7,71.6
2023-06-30,Carrascal,True,80.3,90.7,24.8,33.2,163,Unhealthy,8.4,SW,29.8,69.4
2023-07-01,Carrascal,True,39.2,53.2,38.7,32.5,110,Unhealthy for Sensitive Groups,15.4,SSW,30.7,66.5
2023-07-02,Carrascal,True,43.2,67.3,57.7,44.5,120,Unhealthy for Sensitive Groups,16.4,SSW,29.6,91.8
2023-07-03,Carrascal,True,52.8,102.5,61.5,31.3,144,Unhealthy for Sensitive Groups,19.2,SSW,26.8,70.7
2023-07-04,Carrascal,True,81.9,156.3,62.7,38.4,164,Unhealthy,16.4,SW,32.4,89.7
2023-07-05,Carrascal,True,44.2,76.9,40.8,20.9,122,Unhealthy for Sensitive Groups,12.6,WSW,28.3,87.7
2023-07-06,Carrascal,True,57.4,74.6,35.8,17.7,151,Unhealthy,14.3,SSW,29.9,73.5
2023-07-07,Carrascal,True,49.7,57.7,47.4,35.1,136,Unhealthy for Sensitive Groups,9.4,WSW,26.1,67.0
2023-07-08,Carrascal,True,44.2,54.5,39.6,17.4,122,Unhealthy for Sensitive Groups,12.1,WSW,26.5,73.8
2023-07-09,Carrascal,True,67.0,76.8,44.5,38.9,156,Unhealthy,18.9,SSW,32.7,87.8
2023-07-10,Carrascal,True,36.4,54.9,43.1,37.1,102,Unhealthy for Sensitive Groups,8.3,SSW,29.2,77.8
2023-07-11,Carrascal,True,78.2,129.7,27.0,38.8,162,Unhealthy,10.9,SW,27.9,79.1
2023-07-12,Carrascal,True,42.5,125.4,22.6,30.2,118,Unhealthy for Sensitive Groups,16.8,SW,25.1,68.5
2023-07-13,Carrascal,True,41.9,110.7,50.6,27.9,116,Unhealthy for Sensitive Groups,17.0,SSW,31.2,77.1
2023-07-14,Carrascal,True,46.7,119.4,38.0,49.3,128,Unhealthy for Sensitive Groups,19.8,SW,29.8,67.4
2023-07-15,Carrascal,True,27.4,89.4,20.5,31.7,83,Moderate,11.2,SSW,31.4,82.4
2023-07-16,Carrascal,True,36.9,78.4,37.7,30.9,104,Unhealthy for Sensitive Groups,15.7,SSW,27.4,70.9
2023-07-17,Carrascal,True,74.7,56.8,41.9,22.2,160,Unhealthy,16.4,SW,32.1,84.0
2023-07-18,Carrascal,True,41.7,98.1,48.8,41.4,116,Unhealthy for Sensitive Groups,8.4,SSW,27.7,75.0
2023-07-19,Carrascal,True,74.4,147.8,36.2,30.5,160,Unhealthy,10.9,SSW,31.6,72.9
2023-07-20,Carrascal,True,66.4,126.3,58.8,33.8,156,Unhealthy,9.9,WSW,28.0,89.0
2023-07-21,Carrascal,True,39.6,81.8,61.0,29.5,111,Unhealthy for Sensitive Groups,17.4,SW,28.7,73.9
2023-07-22,Carrascal,True,45.0,80.5,34.3,14.6,124,Unhealthy for Sensitive Groups,13.7,SW,30.0,80.5
2023-07-23,Carrascal,True,64.9,68.1,35.5,35.7,155,Unhealthy,16.5,SSW,28.5,93.5
2023-07-24,Carrascal,True,52.3,92.8,39.9,36.1,142,Unhealthy for Sensitive Groups,12.4,WSW,25.2,74.7
2023-07-25,Carrascal,True,46.9,119.6,46.0,23.7,129,Unhealthy for Sensitive Groups,11.0,SW,28.8,80.9
2023-07-26,Carrascal,True,81.7,113.7,62.7,43.7,164,Unhealthy,18.3,SW,30.7,79.3
2023-07-27,Carrascal,True,81.7,118.9,26.8,39.6,164,Unhealthy,13.1,SW,31.7,84.5
2023-07-28,Carrascal,True,33.1,105.0,53.2,38.3,95,Moderate,8.9,SSW,32.0,80.2
2023-07-29,Carrascal,True,45.0,50.1,45.1,18.2,124,Unhealthy for Sensitive Groups,8.2,SW,28.9,80.3
2023-07-30,Carrascal,True,33.7,68.3,47.0,18.8,96,Moderate,13.1,WSW,25.5,84.4
2023-07-31,Carrascal,True,55.0,63.3,47.0,26.5,149,Unhealthy for Sensitive Groups,18.6,WSW,27.1,77.5
2023-08-01,Carrascal,True,89.3,115.4,59.2,20.3,168,Unhealthy,13.3,SW,31.6,87.9
2023-08-02,Carrascal,True,65.5,66.6,28.0,45.0,155,Unhealthy,18.3,WSW,24.7,70.1
2023-08-03,Carrascal,True,57.6,67.1,38.3,50.7,151,Unhealthy,16.5,SW,28.6,66.4
2023-08-04,Carrascal,True,44.4,56.3,61.8,27.1,123,Unhealthy for Sensitive Groups,12.7,WSW,29.3,80.5
2023-08-05,Carrascal,True,80.3,93.2,58.4,40.5,163,Unhealthy,8.4,SSW,24.9,68.9
2023-08-06,Carrascal,True,52.6,134.7,25.1,38.9,143,Unhealthy for Sensitive Groups,18.6,WSW,27.3,73.1
2023-08-07,Carrascal,True,61.5,75.0,60.1,39.6,153,Unhealthy,12.0,SSW,32.1,94.8
2023-08-08,Carrascal,True,47.3,105.8,21.6,24.9,130,Unhealthy for Sensitive Groups,9.2,SSW,31.8,78.3
2023-08-09,Carrascal,True,77.8,95.0,32.8,29.6,162,Unhealthy,12.7,WSW,24.8,87.1
2023-08-10,Carrascal,True,57.5,113.6,33.2,39.2,151,Unhealthy,9.1,WSW,32.7,67.8
2023-08-11,Carrascal,True,49.4,102.4,32.8,26.1,135,Unhealthy for Sensitive Groups,18.6,SSW,32.3,79.6
2023-08-12,Carrascal,True,57.4,90.9,51.0,38.2,151,Unhealthy,11.1,SW,27.2,71.3
2023-08-13,Carrascal,True,50.8,64.0,28.3,50.8,138,Unhealthy for Sensitive Groups,19.0,WSW,26.9,70.9
2023-08-14,Carrascal,True,56.6,50.8,46.1,36.7,151,Unhealthy,9.8,SW,30.3,68.9
2023-08-15,Carrascal,True,37.6,83.3,54.2,22.1,105,Unhealthy for Sensitive Groups,14.1,SSW,31.1,72.2
2023-08-16,Carrascal,True,96.0,140.4,63.3,20.0,171,Unhealthy,15.1,SSW,25.0,78.9
2023-08-17,Carrascal,True,94.7,130.7,37.6,47.0,171,Unhealthy,12.5,SW,30.4,93.4
2023-08-18,Carrascal,True,52.8,72.5,61.8,28.1,144,Unhealthy for Sensitive Groups,12.6,SSW,30.5,68.0
2023-08-19,Carrascal,True,58.1,59.0,24.2,31.4,151,Unhealthy,19.1,SW,28.9,83.5
2023-08-20,Carrascal,True,38.0,55.6,30.4,23.3,107,Unhealthy for Sensitive Groups,12.6,SW,32.9,85.2
2023-08-21,Carrascal,True,53.1,116.1,30.4,33.1,144,Unhealthy for Sensitive Groups,12.0,SW,27.4,77.5
2023-08-22,Carrascal,True,99.5,84.8,30.4,26.0,173,Unhealthy,18.8,SW,28.1,83.6
2023-08-23,Carrascal,True,44.1,121.3,66.4,42.1,122,Unhealthy for Sensitive Groups,16.0,SSW,28.4,84.7
2023-08-24,Carrascal,True,75.5,61.5,43.2,44.8,161,Unhealthy,13.9,SW,27.9,88.4
2023-08-25,Carrascal,True,70.5,106.6,73.4,34.9,158,Unhealthy,10.1,WSW,24.2,83.2
2023-08-26,Carrascal,True,45.5,60.2,34.0,19.6,125,Unhealthy for Sensitive Groups,15.7,SSW,25.5,85.9
